batch,car,nodes,length_m,travel_time,rho_mean,speed_kph,start_x,start_y,goal_x,goal_y
14,7,2,60.1,4.98,0.67,43.5,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
14,8,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
15,0,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
15,1,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
15,2,21,980.7,211.24,1.278,16.7,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
15,3,8,717.7,106.8,0.966,24.2,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
15,4,30,858.3,129.81,0.648,23.8,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
15,5,5,410.5,47.31,0.704,31.2,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
15,6,2,60.1,4.48,0.569,48.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
16,0,21,980.7,172.06,1.754,20.5,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
16,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
16,2,5,410.5,42.78,0.814,34.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
16,3,17,808.5,193.84,1.892,15.0,489468.69902200956,5513252.214738142,489862.83108759683,5512714.270364838
16,4,36,837.5,222.0,1.252,13.6,489543.1665336083,5513169.685356457,489862.83108759683,5512714.270364838
16,5,5,410.5,52.81,0.814,28.0,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
16,6,14,696.9,280.01,1.988,9.0,489543.1665336083,5513169.685356457,489862.83108759683,5512714.270364838
16,7,43,1121.3,422.15,1.263,9.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
16,8,11,350.0,126.01,0.25,10.0,488600.1125580362,5512997.617162167,488859.209428176,5512832.952139652
17,0,2,60.1,3.83,0.705,56.5,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
17,1,5,410.5,45.51,1.026,32.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
17,2,2,60.1,4.35,0.705,49.7,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
17,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
17,4,5,410.5,56.79,1.026,26.0,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
17,5,2,60.1,5.17,0.705,41.8,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
17,6,8,717.7,107.26,0.827,24.1,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
17,7,4,358.2,56.77,1.095,22.7,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
18,0,21,980.7,152.26,0.902,23.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
18,1,5,410.5,52.67,1.007,28.1,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
18,2,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
18,3,5,410.5,66.41,1.007,22.2,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
18,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
18,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
18,6,2,60.1,4.57,0.589,47.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
19,0,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
19,1,2,60.1,4.28,0.687,50.5,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
19,2,8,717.7,70.93,0.67,36.4,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
19,3,5,410.5,51.74,0.8,28.6,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
19,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
19,5,21,980.7,142.45,0.826,24.8,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
19,6,2,60.1,5.07,0.687,42.7,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
19,7,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
20,0,4,358.2,35.3,0.688,36.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
20,1,8,717.7,72.6,0.709,35.6,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
20,2,5,314.2,24.8,0.221,45.6,488631.179047366,5512022.554642968,488835.3889673353,5511937.387367015
20,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
20,4,2,60.1,4.53,0.746,47.8,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
20,5,21,980.7,137.79,0.781,25.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
20,6,2,60.1,5.42,0.746,39.9,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
20,7,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
21,0,8,717.7,73.81,0.912,35.0,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
21,1,21,980.7,135.45,1.236,26.1,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
21,2,4,358.2,32.54,0.607,39.6,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
21,3,43,1121.3,177.19,0.727,22.8,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
21,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
21,5,5,88.6,11.1,0.192,28.7,489603.47737474774,5511951.632139955,489611.11977763043,5512015.712892384
21,6,2,60.1,4.69,0.781,46.1,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
21,7,2,60.1,5.65,0.781,38.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
21,8,21,980.7,231.28,1.236,15.3,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
22,0,21,980.7,166.27,1.237,21.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
22,1,4,358.2,31.12,1.336,41.4,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
22,2,5,410.5,45.71,1.092,32.3,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
22,3,4,358.2,47.53,1.336,27.1,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
22,4,2,60.1,4.79,0.635,45.1,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
22,5,4,358.2,60.02,1.336,21.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
22,6,4,358.2,75.36,1.336,17.1,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
22,7,21,980.7,223.08,1.237,15.8,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
23,0,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
23,1,2,60.1,4.39,0.881,49.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
23,2,2,60.1,5.23,0.881,41.4,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
23,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
23,4,5,410.5,58.44,1.193,25.3,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
23,5,2,60.1,6.37,0.881,34.0,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
23,6,5,410.5,73.07,1.193,20.2,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
23,7,4,358.2,79.65,1.385,16.2,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
23,8,8,717.7,80.77,0.657,32.0,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
24,0,4,358.2,52.19,1.414,24.7,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
24,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
24,2,4,358.2,65.83,1.414,19.6,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
24,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
24,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
24,5,2,60.1,5.12,0.695,42.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
24,6,4,358.2,82.31,1.414,15.7,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
24,7,8,717.7,71.42,0.595,36.2,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
25,0,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
